,Tweet
458,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath Airforce joining do.ham 7000 candidate sara process kar finally  joining hona tha.government ne hamara joining cancel kar diya.yah anyay hai.ham bahut mehnat kar finally select hue the. https://t.co/DrNXs8Eo3y"
459,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath we want justice, airforce joining do https://t.co/FDIPhmid77"
460,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
Hamara panding Army exam kraow
No exam no vote https://t.co/tcEyeobxEj"
461,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
@PMOIndia 
@IAF_MCC 
@narendramodi 
@RahulGandhi @priyankagandhi 
@ArvindKejriwal 
@hanumanbeniwal  
We want airforce joining https://t.co/0kHc3YbBW4"
462,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
We want joining
We want enrollment
We want to be airmen"
463,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
Es desh me ye sab kya ho rha h 
Joining hi cancel kr di 😑😑
#JusticeForDefenseStudents 
  will we get justice or not ??
It's really Shane on @narendramodi  because he barbad our future 😓 https://t.co/EywEDd7SRr"
464,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
#JusticeForDefenceStudents
Why all this fraud with us ?
We want our rights 
Our enrollment https://t.co/Df75EZq1w0"
465,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath airforce joining do https://t.co/bIxxCrYsZ6"
466,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
Hame Hamara hak chaye hamara panding Army exam kraow or airforce joining https://t.co/XZE25PXXgg"
467,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
Air force joining do 🙏🙏🙏
 army exam krwao🙏🙏 https://t.co/huVI2O5p07"
468,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
Bjp boycottt https://t.co/16YZyksdAa"
469,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
We want justice 🙏 https://t.co/mY4OzElkv5"
470,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath

Waiting for joining from more than one year after completing all the selection procedure..Indian Airforce X and Y group examination results and joining has not been completed."
471,"Airforce joining do
Airforce enrollment do
#JusticeForDefenceStudents #वर्दी_दो_या_अर्थी_दो
#Agnipath 
@PMOIndia @pandeypoonam20 @aajtak @ndtv @BBCHindi @DefenceMinIndia"
472,"Where is justice? 
#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath https://t.co/ZazfKgivg7"
473,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
We want justice"
474,"#JusticeForDefenceStudents   #वर्दी_दो_या_अर्थी_दो
#Agnipath
@pmo @rajnathsingh 
We want justice"
475,Including #Agniveer https://t.co/kvSx9rBFKN
476,"Perfect design, perfect custo̍m service! highly recommended! 😉

#amritmahotsav #badaltakashmir #indianarmypeoplesarmy #agnipath #barcainter #bbcqt #dreamisafreak #dogs 

https://t.co/rpFBLOcPzP"
477,"Harsh #Weather and Terrain can not dampen their Spirit as the #youth of Remote mountains prepare themselves for the Written #exam towards achieving the dream of becoming #Agniveer.
#jammu #ramban #kishtwar #bhaderwah #reasi #YouthX 
@dcramban @DcKishtwar @DistrictDoda https://t.co/YjqDwUmeuA"
478,@PrakashJavdekar @narendramodi @BJP4India @PMOIndia @rajnathsingh @JPNadda @AmitShah @BJP4Maharashtra @BJP4Keralam @PBNS_India @PIB_India @BJYM Today great resolutions for @PrakashJavdekar ji and @narendramodi ji at to contribute opportunity to our young generation for support defence industry for better future create special quota for #agniveer for our defense industries create possibility to #agniveer trained personnel
479,"Candidates appeared with great enthusiasm in the ongoing #Agniveer recruitment rally in Ayodhya for districts under ARO Amethi.

(1/2) https://t.co/9jw0AIOCEM"
480,"Some more glimpses...

(2/2)

#Agniveer https://t.co/w0AQOghref"
481,"@ANI Atmanirbhar Rajnath Singh Strengthening India's defence by meeting a soldier who actually was never a soldier to promote their #Agniveer Scheme. 👏👏👏
Fake meeting Fake. https://t.co/BB6PvKd8KJ"
482,"#Phundrei Battalion of #AssamRifles under the aegis of IGAR(S) organized a lecture in village Langthel, Thoubal District, Manipur on 02 December 2022 to educate and create awareness on benefits offered by the #Agnipath scheme. 
@SpokespersonMoD 
@adgpi
@dgar_official
@Spearcorps https://t.co/7vYAP77nAb"
483,"#IndianArmy
#Agniveer Women Military Police Recruitment Rally in progress at #Lucknow for #UP &amp; #Uttarakhand saw close to 800 aspirants chasing their dream to be part of Indian Army and serve the nation with great enthusiasm &amp; pride.
@adgpi 
@ProDefLko https://t.co/pKoxg7P6DD"
484,"@manojmuntashir India is unemployed under BJP…look at the statistics 

Who are you mocking Ravish or Vishwaguru

You can’t provide pension and hence started #agniveer 

Have some shame and start investing the ₹2 you earn"
485,"The Defence Secretary, urged the Indian defence manufacturers to act on their commitment and make policy announcements under the Corporate Recruitment plans at the earliest. 
#Agnipath #Agniveer 
https://t.co/6YkDMqjUqr"
486,"We are not same Bro😎

#army #armylover #armylife #armydream #armydress #armymemes #agniveer #agniveer🔥 #memes #memes😂 #memesdaily #ssc #sscgd #ssccgl #instagood #instagram #instatrend #treanding https://t.co/bJKj6KlPtK"
487,"@Firezstarter1 @Talkin_rational @akki_bauer22_ @daeroplate_v2 @EkNashwar @chandanprasad @ak30762 @saurabhk3194 @ArijitDattaRay @RanaKumbha @FinestYew @Spadex716i @cvkrishnan @NCC1701_x @Kaushik45139835 @LionBurmese21 @AdithyaKM_ @Hrishi1351 Yes , good enough for plain jane infantry and non-technical trades.Doesn't work out for Arty , Armoured , AD , Signals , EME , Sappers.These branches will have to come up with their own flavour of #agniveer"
488,"#wecare
#IndianArmyPeoplesArmy
#IndianArmy conducted a lecture on *World Aids Day*  at Bumahma Middle School, Drugmulla. #agniveer #ParthSamthaan #CRCGER #TheBoys #AmritMahotsav #BadaltaKashmir https://t.co/PWrmZ5tuBf"
489,"#wecare
#IndianArmyPeoplesArmy
#IndianArmy conducted a lecture on *World Aids Day*  at Bumahma Middle School, Drugmulla. #agniveer #ParthSamthaan #CRCGER #TheBoys #AmritMahotsav #BadaltaKashmir https://t.co/edsKTuxdtZ"
490,"Harsh #Weather and Terrain can not dampen their Spirit as the #youth of Remote mountains prepare themselves for the Written #exam towards achieving the dream of becoming #Agniveer.
#jammu #ramban #kishtwar #bhaderwah #reasi #YouthX @dcramban
@DcKishtwar
@DistrictDoda https://t.co/CqzQ5Z8XMe"
491,"#justice for defence students
#agnipathscheme 
#agniveer"
492,"#InPics | Agniveer Recruitment For Female Candidates

#Agniveer #Recruitment #Candidates

https://t.co/D06Qjz2Ha1 https://t.co/uOaLKOd5L3"
493,"#Lucknow | Girls from 26 districts participated in the women’s #Agniveer recruitment rally held at the Army Medical Corps Centre and College 

https://t.co/Y3jLu2uyyG"
494,#women #Agniveer aspirants undergoing #fitness test during #agnipathrecruitmentscheme in #Lucknow #UttarPradesh https://t.co/b7YbQJ82Ey
495,"#NCC (#Army Wing &amp; #Naval Wing) @MCMDAVCW held awareness session on #Agniveer Vayu by CPL Rajendra Kumar, Airmen Selection Centre, #AirForce Ambala. @PIBHomeAffairs @AmitShah @EduMinOfIndia @dpradhanbjp @DefenceMinIndia @rajnathsingh @ugc_india @PIB_India @PIBChandigarh https://t.co/2xilXghg8m"
496,"“PTC has modified its recruitment policy to reflect the great opportunity for hiring #Agniveers enabling us to induct capable, disciplined and trained young individuals.” - Sachin Agarwal, CMD. 1/2 @giridhararamane @SpokespersonMoD @upeidaofficial @SachinPTC #agnipathscheme https://t.co/5izxfgVHHG"
497,"#IndianArmy #agniveer
Candidates found physical fit in tests conducted at the rally site are now undergoing medical examination by a team of Army Medical Officers.

Candidates merit listed after the written test will be dispatched to designated Training Centres of the Army.
(4/4) https://t.co/OlwYvSgXwz"
498,"#IndianArmy #agniveer
🔹14805 candidates reported for Agniveer Category.
🔹6981 for Sol Tech NA.
🔹29 for JCO RT.
The candidates underwent physical fitness tests and medical tests at the rally site.
👉 CEE for Sol Tech NA &amp; JCO RT is on 26 Feb 2023.
#IndianArmyPeoplesArmy 
(3/4) https://t.co/EkeyDE4ysw"
499,"#IndianArmy
There was an overwhelming response to Notification for conduct of the rally.
🔹25372 candidates registered online for #Agniveer Recruitment Rally.
🔹11541 for Soldier Technical Nursing Assistant.
🔹45 for Junior Commissioned Officer, Religious Teacher(JCO RT).
(2/4) https://t.co/3yNkBelYVL"
500,"#IndianArmy
Candidates found medically fit will  have to appear in a written test on 15 Jan 2023 for #Agniveer Category.Rally for 7 Southern Dist held at Lal Bahadur Shastri Stadium,Kollam from 17 Nov concluded.Recruitment was organised by Recruiting Office, Trivandrum. (1/4) https://t.co/FQwHuxATFt"
501,"The determination &amp; resolve of the girls was evident on Day 2 of the Agniveer (GD) Women Military Police rally.

The rally is being held for all eligible women candidates of UP &amp; Uttarakhand at AMC Centre &amp; College, Lucknow from 30 Nov, 2022.

#agniveer #Agnipath https://t.co/N5VBuzTGar"
502,"#JusticeForDefenceStudents
@RahulGandhi @NSUI_Sandesh @AmitShah 
#no joinning no vote
#agnipath https://t.co/jbBQCGRLlM"
503,"The determination &amp; resolve of the girls was evident on Day 2 of the Agniveer (GD) Women Military Police rally.

The rally is being held for all eligible women candidates of UP &amp; Uttarakhand at AMC Centre &amp; College, Lucknow from 30 Nov, 2022.

#agniveer #Agnipath https://t.co/iIikoMKCKx"
504,"Cancelation of old recruitments due to #agnipath is a froud. #Modi_Government cheated us. 
Now #GodiMedia is doing only hindu muslim. No one is listening our voice. #JusticeForDefenceStudents 
@AnumaVidisha @SupriyaShrinate @Ravindra_Fouji @priyankagndhi @nsui @IYC https://t.co/aFLinHmBAm"
505,"#Agnipath is a froud with youths. 
Because we had been selected in psl of the Indian airforce. But our recruitment was canceled due to #agnipath. Before #अग्निपथ we ware informed that your enrollment is delayed due to #COVID19. 
#JusticeForDefenceStudents @nsui @INCIndia @IYC https://t.co/tVlhsKvdIi"
506,"#Agnipath is a froud with youths
Because we had been selected in psl of the Indian airforce. But our recruitment was canceled due to #agnipath. Before #अग्निपथ we ware informed that your enrollment is delayed due to #COVID19
#JusticeForDefenceStudents @nsui @INCIndia @IYC https://t.co/IUt2C3axAE"
507,#NavyWeek22.VAdm MA Hampiholi #FOCINC #SNC interacted with #media houses at press conference onboard INS Tir at Kochi.He presented overview of activities &amp;initiatives undertaken by #SouthernNavalCommand in past 1 yr &amp;future plans fr #Agnipath #MakeInIndia&amp; #atmanirbharbharat(1/2) https://t.co/AvRwxNYy3J
508,#NavyWeek22.VAdm MA Hampiholi #FOCINC #SNC interacted with #media houses at press conference onboard INS Tir at Kochi.He presented overview of activities &amp;initiatives undertaken by #SouthernNavalCommand in past 1 yr &amp;future plans fr #Agnipath #MakeInIndia&amp; #atmanirbharbharat(1/2) https://t.co/TsTxhm8M6t
509,"Troops of #IndianArmy carried out specialised training for Heliborne Operations at Narian, 
#Naushera to refine and refresh their skills and drills. 
#MightOfTheNation
#WeCan
#Indian Army Peoples Army 
@NorthernComd_IA
#agniveer 
#Konyadakatliamvar https://t.co/qMR10ujQC8"
510,"#RIMC Graduation Ceremony for 192 Course held on 30 Nov 2022
#Chief guest Lt Gen Nav K Khanduri, GOC in C #WesternCommand presented #SwordOfHonour and #Presidents Gold Medal to Cadet Captain Siddharth Singh.
#agniveer
#ARTRAC
#IA
@adgpi https://t.co/oflpjgUfkK"
511,"#IndianArmy Organised an Interaction with Environment Controllers  Sarpanches and Ward Members at Tekipora in Lolab valley.

#IndianArmyPeoplesArmy 
#AmritMahotsav 
#agniveer 
#RichaChadha 
#hustlefund 
#PakistanCricket 
#Messi #FIFAWorldCupQatar2022 
#BitKeep 
#MexicoVsArabia https://t.co/TipcHFvbNd"
512,"We want justice #armyexamairforceanrloment 
#Agnipath 
#NarendraModi #pm
@srinivasiyc 
@PMOIndia"
513,"Indian Navy Agniveer (SSR 01/2023) Recruitment 2022: Apply Online for 1400 Post

https://t.co/PGUac2J1i4

#rijadeja #govtjobs2022 #govtjobs #indiannavy #navy #agniveerrecruitment2022 #Agniveer"
514,"Agniveer Bharti: 299 daughters participated in the Agniveer Women Military Police Recruitment rally on the first day, started running
 #Agniveer #agniveerbharti #agniveerbhartiup #AgniveerMahilaMilitaryPoliceRecruitment #AgniveerRecruitment #agniveerw...
https://t.co/PJjuTfpvHZ"
515,"#WednesdayMotivation
#Agniveer recruitment rally being held at #Vellore, #TamilNadu. #Agnipath scheme broadened the opportunity, for women to join #IndianArmy.
#HarKaamDeshKeNaam
@adgpi
@SpokespersonMoD
@Def_PRO_Chennai https://t.co/fXRpACYRVb"
516,"Only we can save our village and ourselvesGuidance of Village Security System in association with Police Station Rajur and National Service Scheme @NssBhandardra  @_NSSIndia #Agniveer @YASMinistry @pankajsinghips @ianuragthakur @Anurag_Office @dcarthigueane 
 @PoNssPadekar https://t.co/e81q18ZODk"
517,"Harsh Weather and Terrain can not dampen their Spirit as the youth of Remote mountains prepare themselves for the Written exam towards achieving the dream of becoming #Agniveer.
#IndianArmy training them at #Bhandarkot in Kishtwar 

@Dilsekishtwar https://t.co/Nzhk37Gl4z"
518,"@PTI_News Who is responsible if any of our youth suffer AEFI of vax if they HAD to take it to Apply for Central Govts #agnipath Scheme?

@PMOIndia @adgpi 

https://t.co/nhHGWLeLfk"
519,"Enthusiastic #Agniveer aspirants give their best in the recruitment rally at Vellore, Tamil Nadu. #Agnipath scheme expanded the horizon for women to join the #IndianArmy, Military Police branch. https://t.co/WA97qDkdwG"
520,@sidhant We currently at 75 odd billion but even at that we are spending more on human capital etc less on R&amp;D which is a bad sign hope #Agniveer helps
521,"#success #in #ssc #IndianArmy #agniveer #2022 #sainik #Defence #Academy #binjharpur #jajpur #Odisha for more please contact 🙏7780850052
#IndianArmy #motivation https://t.co/4s8mQLJUAG"
522,"Glimpses from the Passing Out Parade of the 143rd course of NDA, Khadakwasla.
#NDA #nationaldefenceacademy #defence #IndianArmy #IndianAirForce #IndianNavy 
#POP #Passingoutparade
#Agnipath 
#Agniveer #AntimPag
#Youth 
#BadaltaBharat #NewIndia https://t.co/t2q33W3DL6"
523,"Day one of Agniveer (GD) Women Military Police rally for all districts of UP &amp; Uttarakhand saw an enthusiastic response as girl candidates turned up in large numbers.
ADG Recruiting (UP &amp; Uttarakhand) Maj Gen Manoj Tiwari flagged off a run on the day.
#Agnipath #Agniveer #JK https://t.co/zhYqxXvbx8"
524,"Glimpses from the Passing Out Parade of the 143rd course of NDA, Khadakwasla.
#NDA #nationaldefenceacademy #defence #IndianArmy #IndianAirForce #IndianNavy 
#POP #Passingoutparade
#Agnipath 
#Agniveer #AntimPag
#Youth 
#BadaltaBharat #NewIndia https://t.co/LYYnoTWeQh"
525,"#AGNIVEER RECRUITMENT RALLY at Korengei, Manipur witnessed an enthusiastic response from aspirants since its commencement on 23 Nov. Army authorities and civil administration ensured organised conduct &amp; hassle free participation of volunteer Manipuri youths. 1/2 https://t.co/MRsIbP7iTL"
526,"Day one of Agniveer (GD) Women Military Police rally for all districts of UP &amp; Uttarakhand saw an enthusiastic response as girl candidates turned up in large numbers.

ADG Recruiting (UP &amp; Uttarakhand) Maj Gen Manoj Tiwari flagged off a run on the day.

#Agnipath #Agniveer #JK https://t.co/leHOUGQgsP"
527,"Harsh Weather and Terrain can not dampen their Spirit as the youth of Remote mountains prepare themselves for the Written exam towards achieving the dream of becoming #Agniveer.
#IndianArmy training them at #Bhandarkot in Kishtwar 

@Dilsekishtwar https://t.co/g9lUXstIob"
528,"Day one of Agniveer (GD) Women Military Police rally for all districts of UP &amp; Uttarakhand saw an enthusiastic response as girl candidates turned up in large numbers.

ADG Recruiting (UP &amp; Uttarakhand) Maj Gen Manoj Tiwari flagged off a run on the day.

#Agnipath #Agniveer https://t.co/z0pAAujsHp"
529,Army conducts Agniveer recruitment rally in Manipur https://t.co/JBnGYxaILr #Agniveer #Imphal #Manipur #Organizes
530,"Harsh Weather and difficult Terrain is not able to dampen their Spirit, as these Boys of terrorism infested remote areas prepare themselves for achieving the dream of becoming #Agniveer.
#IndianArmy 11 RASHTRIYA RIFLES (DOGRA) training them vigorously at #Bhandarkot in Kishtwar https://t.co/IY4QpvMBTi"
531,"Agniveer recruitment sees 50 pc more candidates

The #Agniveer recruitment rally for all the districts of Manipur which started on November 23 at the Koirengei Army base wil conclude tomorrow 

https://t.co/fyGkuFiAjq"
532,"Indian Navy Agniveer MR 01/2023 Recruitment 2022 Notification

https://t.co/TZbAkhvEMk

#rijadeja #govtjobs #govtjobs2022 #indiannavy #Agniveer #agniveerrecruitment2022"
533,"Indian Navy Agniveer MR 01/2023 Recruitment 2022 Notification

https://t.co/TZbAkhNO0s

#rijadeja #govtjobs #govtjobs2022 #indiannavy #Agniveer #agniveerrecruitment2022"
534,"#Winteriscoming

As #Sringar recorded -2.1 °C, #Aplify salutes the brave warriors defending our nation in such extreme weather. 

We host a unique community for soldiers &amp; their families to post ads, place bids, #carpool &amp; more.
#IndianArmy #IndianNavy #IndianAirForce #Agniveer"
535,"Indian Navy to recruit Agniveer (SSR) for the 2023 batch. Check eligibility, selection process, dates, and detailed information in this video.

#IndianNavy #Navy #Agniveer #jobs #IndianArmy #jobupdates #educationnews https://t.co/NvOlfm6J3E"
536,"Agniveer recruitment sees 50 per cent more candidates compared to regular recruitment

The #Agniveer recruitment rally for all the districts of Manipur which started on November 23 at the Koirengei Army base is scheduled to be concluded on Wednesday

https://t.co/4ASbe1MyH3"
537,"Hundreds of young aspirants turned up for the Imphal Leg of Agniveer Recruitment Rally on Tuesday morning. 

#agniveerrecruitment2022 #Agniveer #Imphal #Manipur #Northeastlive

https://t.co/GzJyLZyYWQ"
538,"Golden words about ""INDIAN ARMY"" 😌😌..
.
.
#indianarmy #indianarmy #army #sscgd #ssc #armygd #armylover #armylove #agniveer #aif #indianairforce #indiannavy #navy #instagram #insta #instagood #instafeed https://t.co/vGbvS9muRF"
539,"#IndianArmy conducted a 'Milap with Maulvis' at Bagh and Sangarwani,#Pulwama. Event aimed to enhance the soldier-citizen connection.

#AmritMahotsav 
#agniveer 
#IndianArmyPeoplesArmy 
#Ronaldo 
#kudus 
#WorldCup2022 
#KashmirFiles 
#Bitcoin 
#DonBelle 
#RedVelvet 
#Apple https://t.co/9FpaVySLIb"
540,"Exercise #YudhAbhyas

“Braving the odds together.
Training to fight together.”

#TrainingTuesday
#IndiaUSFriendship
#InStrideWithTheFuture
#IndianArmy 
#Agniveer 
#COAS https://t.co/DFqfgwmCmU"
541,"#IndianArmy
“We will either find a way or make one”
#AirborneSappers of #ShatrujeetBrigade practised  &amp; validated their drills for speedy execution of Combat Engineering tasks in support of Airborne operations of the elite forces.
@adgpi
#SuryakumarYadav 
#INDvsNZ 
#Agniveer https://t.co/KYCf7zOoB1"
542,"#IndianArmy #CrossedSwordsDivision org #Dogri cultural event #LokKalakari in Khour, Akhnoor(J&amp;K). More than 200 students from 10 Schools participated along with spl performance by renowned Dogri Artist #SarsBharti.
#AzadiKaAmritMahotsav
#IndianArmyPeoplesArmy #agnipathscheme https://t.co/NsLM5JJtbg"
543,"#IndianArmy #CrossedSwordsDivision org #Dogri cultural event #LokKalakari in Khour, Akhnoor(J&amp;K). More than 200 students from 10 Schools participated along with spl performance by renowned Dogri Artist #SarsBharti.
#AzadiKaAmritMahotsav
#IndianArmyPeoplesArmy #agnipathscheme https://t.co/cB8ZDpmejU"
544,"#IndianArmy #CrossedSwordsDivision org #Dogri cultural event #LokKalakari in Khour, Akhnoor(J&amp;K). More than 200 students from 10 Schools participated along with spl performance by renowned Dogri Artist #SarsBharti.
#AzadiKaAmritMahotsav
#IndianArmyPeoplesArmy #agnipathscheme https://t.co/7Bi1UERe8a"
545,"#Agnipath is a froud with youths. 
Because we had been selected in psl of the Indian airforce. But our recruitment was canceled due to #agnipath. Before #agnipath we ware informed that your enrollment is delayed due to #covid-19. But #Covid_19 was only excuse. @nsui @IYC @kharge https://t.co/rd0MSpmjZ1"
546,"Cancelation of old recruitments due to #agnipath is a froud. #Modi_Government cheated us. 
Now #GodiMedia is doing only hindu muslim. No one is listening our voice. #JusticeForDefenceStudents 
@AnumaVidisha @SupriyaShrinate @Ravindra_Fouji @priyankagandhi @RahulGandhi https://t.co/OJrIs1i18I"
547,"#Agnipath is a froud with youths. 
Because we had been selected in psl of the Indian airforce. But our recruitment was canceled due to #agnipath. Before #agnipath we ware informed that your enrollment is delayed due to #covid-19. But #Covid_19 was only excuse. @nsui @IYC @kharge https://t.co/yIU305jgbM"
548,"@NSUIAndaman Sir , thankyou for raise our voice
Sir hum 7000 students h  jo airforce ke joining ka wait kr rhe the but ye @BJP4India  government ne #Agnipath ke wajah se sara cancel kr diya h . Sir hamari aakhri ummid aapkog or #DelhiHighCourt h 
Pls 🙏 sir help"
549,"#Agnipath is a froud with youths. 
Because we had been selected in psl of the Indian airforce. But our recruitment was canceled due to #agnipath. Before #agnipath we ware informed that your enrollment is delayed due to #covid-19. But #Covid_19 was only excuse. @nsui @IYC @kharge https://t.co/aIW2GHG1WH https://t.co/8uibVWZe4X"
550,#girls #girlspower #girlsarmy#army #armylover #armywomen #agniveer #agnipath #1600meters #1600meterworkout #1600 #viral #viralvideos #viralreels #armyboy #armylife #physicalacademy #physical #physicaltherapy # #girlshotputthrow#shotputthrow#mppolice#delhipolice
551,This brief by @SameerP_IND &amp; @viveksans outlines the challenges faced by Western militaries in implementing #military enlistment schemes akin to India's #Agnipath. https://t.co/1RQn0YoaUf https://t.co/zEKlGk8KyD
552,@YashMor5 @Tiny_Dhillon @NorthernComd_IA @adgpi very interesting from #Agniveer candidate &amp; how armed forces will loose good candidates as he says why to wait for 4 years to go private &amp; its better to go now https://t.co/fIn3W9Z5h1 @rajnathsingh @AmitShah @VPSecretariat
553,"It is present in all 4 pillars of our democracy, it is that serious! It is the real ‘deep state’ &amp; it has d ability to create disturbances across Bharat at short notice as we have seen. I won’t be surprised if we later find out that #Agnipath protests were its handiwork too."
554,"#Agnipath is a froud with youths. 
Because we had been selected in psl of the Indian airforce. But our recruitment was canceled due to #agnipath. Before #agnipath we ware informed that your enrollment is delayed due to #covid-19. But #Covid_19 was only excuse. @nsui @IYC @kharge https://t.co/W6vXOoKEeR https://t.co/mjz9wtVVGh"
555,@ANI Sir it seems you don’t require men for #Agniveer scheme
556,"@col_malhan Are you in Indian Army ? India is capable of reclaiming of Indian sub continent ?
Its time to introduce #Agniveer on officer level in Indian Armed Forces. These arm chaired officials betray colonial mindset. Time to project power in world leveraging 1.3 million army sitting idle!"
557,"See this Instagram photo by @join.indianarmy https://t.co/vxmjlxqrBJ 

#Army #Agniveer Recruitment #Eligibility “फिजिकल ट्रेनिंग व लिखित परीक्षा ”
#Defence #Academy Cantt Lucknow U.P.
(A – Sub #Institute Of #Maharana #Pratap #Sarvodaya #Sansthan)
call:  9889-352575, 8756-352575"
558,"@HarshBisaria Cancelation of old recruitments due to #agnipath is a froud. #Modi_Government cheated us. 
Now #GodiMedia is doing only hindu muslim. No one is listening our voice #JusticeForDefenceStudents 
@AnumaVidisha @SupriyaShrinate @Ravindra_Fouji  @RahulGandhi @NayakRagini @rohanrgupta https://t.co/ITF6lC2FXi"
559,"#Agnipath is a froud with youths. 
Because we had been selected in psl of the Indian airforce. But our recruitment was canceled due to #agnipath. Before #agnipath we ware informed that your enrollment is delayed due to #covid-19. But #Covid_19 was just only excuse. @AnumaVidisha https://t.co/gurktedhVS https://t.co/DxOSdrnVAg"
560,"A very successful #Agniveer #Recruitment #Rally at #Udalguri #Assam concluded on 26 Nov - overwhelming response. In last phase large number for Women Candidats also report for recruitment as #Agniveer to serve the nation with pride.
@adgpi
@easterncomd https://t.co/sSpva0h5T5"
561,"AGNIVEER PRE RALLY

#agniveer https://t.co/RSAebkK0DW"
562,"@PMOIndia @narendramodi Sir we still fight for our right because of government of Arunachal Pradesh they are cancellation of our right, they are cancel the RPC (Residential Proof Certificate) if we don get the RPC then how can we join the army even in #agniveer scheme, sir please do something about us. https://t.co/hILIi6ChZL"
563,"#IndianArmy
organised an Interaction with Bakkarwals &amp; Dera Heads in Sunderbani to discuss various issues pertaining to their safety &amp; address their  administrative concerns.
#IndianArmyPeoplesArmy
#agniveer 
#ImACeleq
#Messi𓃵 
#staracademy2022 
#ArgentinavsMexico https://t.co/nWdPigv4uS"
564,"If a death strikes before I prove my blood, I promise, I will kill death.
#JaiHind 
#IndianArmy 
#agniveer 
#viratkholi https://t.co/Yqom78lDOM"
565,"@AskAnshul Quite opposite of ""न कोई घुसा है....""
Difference between coward &amp; brave heart
Difference between yrs of training, service and 4yrs #Agniveer
While Sabdip was fighting, the opportunist narendra modi was milking the tragic incident just below the TAJ."
566,"The Indian Army to conduct a recruitment drive under the #agnipathscheme starting from today till Nov 29

@adgpi https://t.co/znsM3idQ62"
567,@Capt_Cool1 Let’s think about this plan from #agniveer ‘s perspective now!!
568,"These documents are very important for Agniveer recruitment rally, if any document is less then you will have to return empty handed
 #AstateinEasternIndia #Agniveer #AgniveerRecruitment #agniveerrecruitmentinara #Agniveerrecruitmentinbhagalpur #Agniv...
https://t.co/dye39rXJuM"
569,"Gud luck #Agniveer aspirate 
#ad #TejRan @zeenat_daar93 https://t.co/7fXT6wwtqL"
570,"Vikram Gokhale passes away, PM condoles demise of Actor 
#BREAKING #VikramGokhale #Bollywood #webseries #Agnipath #news #PMModi #gokhle #vikramgokhle #Odisha #DAMAN #mtimeslive
https://t.co/k8I5eQheGd"
571,"So many memorable roles in Hindi and Marathi movies by #vikramgokhle #Agnipath #humdildechukesanam #vajir 
Om Shanti"
572,Indian #Navy #Agnipath Recruitment 2022 | #Agniveer MR 01/2023 | Join Indian Navy https://t.co/UldTkSURBW
573,Indian #Navy #Agnipath Recruitment 2022 | #Agniveer SSR 01/2023 | Join Indian Navy https://t.co/2nOqKNDJWa
574,"#IndianArmy #Future #Agniveer #started #Recruitment # training 
#Ramban  #jammu #Jammukashmir @dcramban @diprjk @sbanihal @NorthernComd_IA @Whiteknight_IA @Mohfw_India @diprjk https://t.co/JVSwwgPvrJ"
575,"@vikul_pandit Giving ST status to pahari can safe BJP in HP otherwise very difficult. 
UC r against BJP because of SC- ST act and #agnipathscheme  in HP"
576,👍 on @YouTube: Ek hi din main 43 students Army agniveer rally clear keise kiya #viral #video#armyrally #agniveer https://t.co/Ba8OFEEmJa
577,"#IndianArmy #Future #Agniveer #started #Recruitment # training 
#Ramban  #jammu #Jammukashmir #FIFAWorldCup 
#NZvIND 
#tajhotel 
#Ukraine 
#altcoin https://t.co/ZJvVNx9b7z"
578,"@satbirsm @skvirulkar Sir : good afternoon !

Current thinking of the establishment is to treat one and all of the Indian Armed Forces as a #Agniveer lot 

Establishment has Americanized itself &amp; has forgotten about the legacy the Republic of India 🇮🇳 has / had 

May be  Judiciary is seeing the same"
579,"#IndianArmy conducted Mock Exam at district Doda for Agniveer aspirants to provide local youth an Opportunity to prepare the aspirants to join armed forces as Agniveers.
#JoinIndianArmy
#ShiningJK
#Agniveer 
@adgpi @Whiteknight_IA @NorthernComd_IA  @vishesh_jk @DistrictDoda https://t.co/eE1wmrZoGC"
580,"#IndianArmy #Future #Agniveer #started #Recruitment # training 
#Ramban  #jammu #Jammukashmir @dcramban @diprjk @sbanihal @NorthernComd_IA @Whiteknight_IA @Mohfw_India @diprjk https://t.co/gDa6pEpp39"
